RK,NAME,WEEK,RESULT,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW,YEAR
1,Colin KaepernickSF,1,W28-17at DAL,95.3,6.2,29,4.7,4.2,0,-0.3,0.2,95.3,2014
2,Matthew StaffordDET,1,W35-14vs. NYG,93.1,7.5,38,9.1,7.6,1.2,-0.3,-0.1,94.2,2014
3,Peyton ManningDEN,1,W31-24vs. IND,90,4.7,40,6.8,6.4,0,-0.3,0.1,84.1,2014
4,Russell WilsonSEA,1,W36-16vs. GB,85.2,4.4,35,6.4,5,0.8,-0.2,0.4,85.7,2014
5,Matt RyanATL,1,W37-34vs. NO,85.1,7.9,50,12.3,10.9,0.7,-0.3,0.4,90.2,2014
6,Derek AndersonCAR,1,W20-14at TB,84.5,5.1,39,7.8,6,1.3,-0.4,0.1,86.5,2014
7,Drew BreesNO,1,L37-34at ATL,80.5,5.6,47,10,8.8,-0.1,0,1.3,84.5,2014
8,Jake LockerTEN,1,W26-10at KC,72.8,1.9,44,5.2,3.7,0.5,-1.5,-0.5,65.1,2014
9,Ryan FitzpatrickHOU,1,W17-6vs. WSH,72.3,3.5,26,5.5,4.1,1.2,0,0.1,87.2,2014
10,Philip RiversSD,1,L18-17at ARI,71.8,2.9,39,6.5,5.5,0.8,0,0.2,73.9,2014
11,Carson PalmerARI,1,W18-17vs. SD,67.9,3.8,50,8.4,5.6,1.6,-1,0.3,74.6,2014
12,Matt CasselMIN,1,W34-6at STL,67,2,30,4.1,5.2,-1.3,0,0.2,71.6,2014
13,Jay CutlerCHI,1,L23-20vs. BUF,64.5,1,54,6.1,4.2,0,-0.8,1.2,56.8,2014
14,Ben RoethlisbergerPIT,1,W30-27vs. CLE,61.4,1.4,39,4.3,3.4,-0.5,-1.4,0,62.2,2014
15,Chad HenneJAX,1,L34-17at PHI,56.9,0.3,51,4,2.6,0.3,-0.8,0.2,52,2014
16,Joe FlaccoBAL,1,L23-16vs. CIN,50.8,0,69,6,1.6,1.5,-2.2,0.7,50.1,2014
17,Andrew LuckIND,1,L31-24at DEN,46.9,-2.2,64,2.5,0.7,0.2,-1.3,0.3,37.9,2014
18,Aaron RodgersGB,1,L36-16at SEA,44.3,-1.9,41,1.6,-2.2,0,-2.5,1.3,34.4,2014
19,Robert Griffin IIIWSH,1,L17-6at HOU,40.8,-2.8,43,1.1,1.9,-2.4,-1.8,-0.2,28.7,2014
20,Eli ManningNYG,1,L35-14at DET,39.6,-2.3,39,1.1,-1,0,-1.3,0.8,30.5,2014
21,Andy DaltonCIN,1,W23-16at BAL,39.2,-2.3,44,1.7,3.2,-1.4,0,-0.1,32.4,2014
22,Tom BradyNE,1,L33-20at MIA,35,-2.7,64,2.6,0.8,0.1,-1.7,0.1,35.6,2014
23,Ryan TannehillMIA,1,W33-20vs. NE,33.3,-1.3,35,2,1.2,0,-0.7,0.1,37,2014
24,EJ ManuelBUF,1,W23-20at CHI,31.9,-1.8,30,1,1.5,-0.5,-0.4,-0.4,30.3,2014
25,Geno SmithNYJ,1,W19-14vs. OAK,30.4,-1.9,42,2,-0.5,0.5,-2.1,-0.1,34.6,2014
26,Brian HoyerCLE,1,L30-27at PIT,29.4,-2,35,1.1,1,-1,-1.1,0.1,31,2014
27,Derek CarrOAK,1,L19-14at NYJ,26,-2.5,40,1.1,-0.5,0,-1.1,0.5,29.4,2014
28,Nick FolesPHI,1,W34-17vs. JAX,24.5,-4,52,0.7,-1.8,0,-2.3,0.2,25.1,2014
29,Josh McCownTB,1,L20-14vs. CAR,17.5,-3.8,42,0.2,-2.7,1.1,-1.8,0,22,2014
30,Alex SmithKC,1,L26-10vs. TEN,9.9,-6.4,46,-1.5,-3.1,0.1,-1.7,-0.1,12.2,2014
31,Tony RomoDAL,1,L28-17vs. SF,9.4,-7.1,44,-1.5,-2.5,0,-1.1,-0.1,9.2,2014
32,Austin DavisSTL,1,L34-6vs. MIN,8.6,-4.3,29,-0.7,-2.1,0,-1.5,-0.1,10.7,2014
1,Peyton ManningDEN,2,W24-17vs. KC,95.1,6.1,30,8.5,7.5,0,-0.3,0.7,94.7,2014
2,Ryan FitzpatrickHOU,2,W30-14at OAK,91,3.9,25,4.6,4.5,0,0,0.1,90.3,2014
3,Kirk CousinsWSH,2,W41-10vs. JAX,90.3,6.2,39,6.7,6.1,0,-0.5,0.1,90.5,2014
4,Tom BradyNE,2,W30-7at MIN,87.3,3.8,28,3.9,3.6,-0.1,-0.1,0.3,87.1,2014
5,Austin DavisSTL,2,W19-17at TB,86.3,4.6,34,7.8,7.4,-1,-1,0.4,87.2,2014
6,Joe FlaccoBAL,2,W26-6vs. PIT,79.7,4.4,36,6.6,5.2,0.8,0,0.6,84.8,2014
7,Nick FolesPHI,2,W30-27at IND,76.9,1.2,43,5,3.8,0.6,0,0.6,59.8,2014
8,Josh McCownTB,2,L19-17vs. STL,76.3,2.7,24,4.9,1.7,2.3,-0.6,0.3,82.9,2014
9,Eli ManningNYG,2,L25-14vs. ARI,76.2,4.9,46,8.3,6.6,0,-0.8,0.9,81.7,2014
10,Geno SmithNYJ,2,L31-24at GB,74.9,2.4,39,5.6,3.6,1.5,-0.4,0,70.2,2014
11,Alex SmithKC,2,L24-17at DEN,74.3,2.7,56,7.7,5.7,1,-0.5,0.5,66.7,2014
12,Andrew LuckIND,2,L30-27vs. PHI,73.2,3.1,40,6.6,5.4,0.4,0,0.8,74.7,2014
13,Aaron RodgersGB,2,W31-24vs. NYJ,72.9,5.5,54,9.4,6.3,0.5,-1.8,0.8,80.8,2014
14,Drew BreesNO,2,L26-24at CLE,72,2.1,45,6.1,4.8,0.1,-1.3,-0.1,65.8,2014
15,Philip RiversSD,2,W30-21vs. SEA,70.6,2.6,47,7,7,-1.1,-0.7,0.3,68.6,2014
16,Tony RomoDAL,2,W26-10at TEN,70.2,2,35,4.8,2.2,0,-2,0.5,69.4,2014
17,Derek CarrOAK,2,L30-14vs. HOU,69.6,1.9,47,3,0.5,2.4,0,0.2,63.7,2014
18,Cam NewtonCAR,2,W24-7vs. DET,59.1,0.7,43,4.7,1.4,0.9,-2.2,0.2,56.1,2014
19,Brian HoyerCLE,2,W26-24vs. NO,57.3,2.5,45,6.5,5.8,0,-0.1,0.6,68.4,2014
20,Matthew StaffordDET,2,L24-7at CAR,55.4,0.9,55,4.7,3.8,0.1,-1.2,-0.3,55.5,2014
21,Jay CutlerCHI,2,W28-20at SF,52.9,-0.5,42,3.1,4.3,-1.3,-0.5,-0.3,46.1,2014
22,Russell WilsonSEA,2,L30-21at SD,52.4,0.3,31,2.8,1.6,0,-1.4,-0.2,53.7,2014
