,Year,Week,Attendance,Team
7582,2014,1,61292.0,Arizona Cardinals
7583,2014,2,78344.0,Arizona Cardinals
7584,2014,3,61572.0,Arizona Cardinals
7585,2014,4,67582.63539030563,Arizona Cardinals
7586,2014,5,76895.0,Arizona Cardinals
7587,2014,6,61139.0,Arizona Cardinals
7588,2014,7,52101.0,Arizona Cardinals
7589,2014,8,61789.0,Arizona Cardinals
7590,2014,9,85688.0,Arizona Cardinals
7591,2014,10,61363.0,Arizona Cardinals
7592,2014,11,62487.0,Arizona Cardinals
7593,2014,12,68327.0,Arizona Cardinals
7594,2014,13,69557.0,Arizona Cardinals
7595,2014,14,62387.0,Arizona Cardinals
7596,2014,15,55880.0,Arizona Cardinals
7597,2014,16,63806.0,Arizona Cardinals
7598,2014,17,70699.0,Arizona Cardinals
7599,2014,1,70706.0,Atlanta Falcons
7600,2014,2,58574.0,Atlanta Falcons
7601,2014,3,70318.0,Atlanta Falcons
7602,2014,4,52173.0,Atlanta Falcons
7603,2014,5,80307.0,Atlanta Falcons
7604,2014,6,70712.0,Atlanta Falcons
7605,2014,7,71184.0,Atlanta Falcons
7606,2014,8,83532.0,Atlanta Falcons
7607,2014,9,67582.63539030563,Atlanta Falcons
7608,2014,10,57751.0,Atlanta Falcons
7609,2014,11,73314.0,Atlanta Falcons
7610,2014,12,70046.0,Atlanta Falcons
7611,2014,13,69557.0,Atlanta Falcons
7612,2014,14,77512.0,Atlanta Falcons
7613,2014,15,71161.0,Atlanta Falcons
7614,2014,16,73164.0,Atlanta Falcons
7615,2014,17,71015.0,Atlanta Falcons
7616,2014,1,70925.0,Baltimore Ravens
7617,2014,2,71181.0,Baltimore Ravens
7618,2014,3,67407.0,Baltimore Ravens
7619,2014,4,71218.0,Baltimore Ravens
7620,2014,5,65258.0,Baltimore Ravens
7621,2014,6,60041.0,Baltimore Ravens
7622,2014,7,71184.0,Baltimore Ravens
7623,2014,8,55711.0,Baltimore Ravens
7624,2014,9,63971.0,Baltimore Ravens
7625,2014,10,70914.0,Baltimore Ravens
7626,2014,11,67582.63539030563,Baltimore Ravens
7627,2014,12,73373.0,Baltimore Ravens
7628,2014,13,71060.0,Baltimore Ravens
7629,2014,14,70244.0,Baltimore Ravens
7630,2014,15,70801.0,Baltimore Ravens
7631,2014,16,71771.0,Baltimore Ravens
7632,2014,17,71070.0,Baltimore Ravens
7633,2014,1,62425.0,Buffalo Bills
7634,2014,2,69954.0,Buffalo Bills
7635,2014,3,68611.0,Buffalo Bills
7636,2014,4,71756.0,Buffalo Bills
7637,2014,5,62775.0,Buffalo Bills
7638,2014,6,70185.0,Buffalo Bills
7639,2014,7,68477.0,Buffalo Bills
7640,2014,8,78160.0,Buffalo Bills
